Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --csv ./out/logs/log_basketball.2.2982.1280x720.420_h265_1024.csv --input-res 1280x720 --fps 2982/100 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 1024 --pass 1 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/basketball.2.2982.1280x720.420 -o ./out/encoded/basketball.2.2982.1280x720.420_1024.265", Sat Apr 22 03:19:10 2017, 64.25, 4.65, 923.89, 34.763, 40.458, 41.191, 36.278, -, -, 1     , 30.24, 11410.56, 37.543, 41.116, 42.327, -, 66    , 32.75, 2770.56 , 35.641, 40.571, 41.211, -, 232   , 39.90, 353.34  , 34.501, 40.422, 41.181, -, 0     , 0     , 2.3
" --csv ./out/logs/log_basketball.2.2982.1280x720.420_h265_1024.csv --input-res 1280x720 --fps 2982/100 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 1024 --pass 2 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/basketball.2.2982.1280x720.420 -o ./out/encoded/basketball.2.2982.1280x720.420_1024.265", Sat Apr 22 03:20:15 2017, 64.34, 4.65, 988.28, 35.083, 40.706, 41.468, 36.584, -, -, 1     , 28.75, 13017.26, 38.621, 41.881, 43.147, -, 66    , 32.16, 2914.95 , 36.008, 40.857, 41.525, -, 232   , 39.27, 388.33  , 34.804, 40.658, 41.445, -, 0     , 0     , 2.3
