Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --csv ./out/logs/log_flowers.2.30.1280x720.420_h265_1280.csv --input-res 1280x720 --fps 30/1 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 1280 --pass 1 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/flowers.2.30.1280x720.420 -o ./out/encoded/flowers.2.30.1280x720.420_1280.265", Sat Apr 22 05:16:14 2017, 63.06, 4.76, 1127.39, 41.473, 42.966, 46.304, 42.264, -, -, 1     , 29.20, 10886.16, 41.999, 41.784, 44.370, -, 45    , 26.61, 4577.04 , 43.273, 43.528, 46.426, -, 254   , 32.77, 477.81  , 41.153, 42.871, 46.290, -, 0     , 0     , 2.3
" --csv ./out/logs/log_flowers.2.30.1280x720.420_h265_1280.csv --input-res 1280x720 --fps 30/1 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 1280 --pass 2 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/flowers.2.30.1280x720.420 -o ./out/encoded/flowers.2.30.1280x720.420_1280.265", Sat Apr 22 05:17:17 2017, 63.08, 4.76, 1252.05, 42.049, 43.423, 46.720, 42.805, -, -, 1     , 22.17, 20405.28, 46.590, 46.319, 48.121, -, 45    , 25.45, 4893.68 , 43.996, 44.085, 46.893, -, 254   , 31.69, 531.48  , 41.687, 43.294, 46.684, -, 0     , 0     , 2.3
