Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --csv ./out/logs/log_tears.of.steel.end.24.1280x534.420_h265_512.csv --input-res 1280x534 --fps 24/1 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 512 --pass 1 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/tears.of.steel.end.24.1280x534.420 -o ./out/encoded/tears.of.steel.end.24.1280x534.420_512.265", Sat Apr 22 00:38:26 2017, 41.10, 5.84, 478.87, 34.267, 43.418, 44.257, 36.660, -, -, 1     , 30.91, 5817.79 , 36.340, 42.405, 43.561, -, 61    , 33.06, 1466.58 , 34.555, 43.327, 44.217, -, 178   , 39.92, 110.39  , 34.157, 43.454, 44.274, -, 0     , 0     , 2.3
" --csv ./out/logs/log_tears.of.steel.end.24.1280x534.420_h265_512.csv --input-res 1280x534 --fps 24/1 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 512 --pass 2 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/tears.of.steel.end.24.1280x534.420 -o ./out/encoded/tears.of.steel.end.24.1280x534.420_512.265", Sat Apr 22 00:39:07 2017, 41.00, 5.85, 498.87, 34.552, 43.623, 44.351, 36.910, -, -, 1     , 28.39, 7650.43 , 38.057, 43.511, 44.575, -, 61    , 32.48, 1502.19 , 34.827, 43.529, 44.294, -, 178   , 39.29, 114.86  , 34.438, 43.655, 44.370, -, 0     , 0     , 2.3
