Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --csv ./out/logs/log_gameplay.2.30.1280x720.420_h265_256.csv --input-res 1280x720 --fps 30/1 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 256 --pass 1 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/gameplay.2.30.1280x720.420 -o ./out/encoded/gameplay.2.30.1280x720.420_256.265", Sat Apr 22 00:18:43 2017, 48.14, 6.23, 289.24, 33.444, 42.818, 43.520, 35.875, -, -, 1     , 34.09, 3491.52 , 41.824, 47.029, 48.499, -, 99    , 42.40, 546.67  , 33.875, 42.842, 43.551, -, 200   , 46.19, 145.80  , 33.189, 42.785, 43.480, -, 0     , 0     , 2.3
" --csv ./out/logs/log_gameplay.2.30.1280x720.420_h265_256.csv --input-res 1280x720 --fps 30/1 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 256 --pass 2 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/gameplay.2.30.1280x720.420 -o ./out/encoded/gameplay.2.30.1280x720.420_256.265", Sat Apr 22 00:19:27 2017, 43.80, 6.85, 256.07, 32.677, 42.281, 42.773, 35.139, -, -, 1     , 40.05, 2174.16 , 37.405, 44.303, 46.362, -, 99    , 43.51, 488.88  , 33.041, 42.312, 42.758, -, 200   , 47.20, 131.24  , 32.472, 42.256, 42.762, -, 0     , 0     , 2.3
