Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --csv ./out/logs/log_gameplay.30.1280x720.420_h265_2304.csv --input-res 1280x720 --fps 30/1 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 2304 --pass 1 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/gameplay.30.1280x720.420 -o ./out/encoded/gameplay.30.1280x720.420_2304.265", Sat Apr 22 10:43:16 2017, 115.03, 2.61, 2403.43, 34.397, 43.206, 44.063, 36.706, -, -, 1     , 26.53, 5847.12 , 44.326, 49.697, 50.677, -, 110   , 33.29, 3972.31 , 35.171, 43.491, 44.267, -, 189   , 37.03, 1472.11 , 33.894, 43.006, 43.910, -, 0     , 0     , 2.3
" --csv ./out/logs/log_gameplay.30.1280x720.420_h265_2304.csv --input-res 1280x720 --fps 30/1 --tune psnr --psnr --preset veryslow --keyint -1 --bitrate 2304 --pass 2 --tu-intra-depth 2 --tu-inter-depth 2 --input /run/media/john_tukey/download/datasets/5c1dataset/gameplay.30.1280x720.420 -o ./out/encoded/gameplay.30.1280x720.420_2304.265", Sat Apr 22 10:45:06 2017, 109.59, 2.74, 2266.44, 34.094, 43.037, 43.822, 36.428, -, -, 1     , 31.38, 3751.92 , 41.139, 47.108, 47.816, -, 110   , 33.78, 3722.29 , 34.853, 43.341, 44.034, -, 189   , 37.49, 1411.26 , 33.616, 42.838, 43.678, -, 0     , 0     , 2.3
